,Data Block,ATTRIBUTE NAME ,ATTRIBUTE COLUMN NAME,ATTRIBUTE DEFINITION,Availability
,Core,Company ID,company_id,Company internal ID to Veridion,API and Batch
,Core,Created At,created_at,UTC Date and time when the company profile was initially added to the Veridion database,API and Batch
,Core,Last Updated At,last_updated_at,UTC Date and time when the information about the company was last extracted and verified for any updates.,API and Batch
,Company Information - L1,Company Commercial Names,company_commercial_names,"The commercial name by which the company is known. This may or may not be the same as the legal name. For example, a company may be called ""The Acme Inc."", yet it's referred to by its commercial name, ""Acme"".",API and Batch
,Company Information - L1,Company Name,company_name,"Most commonly used name when referring to this entity. This name can be the legal name, or it can be the commercial name. In some cases, the commercial name is an abbreviation of the company name.",API and Batch
,Company Information - L1,Company Legal Names,company_legal_names,"The company's legal entity name. This is the name that is used, for example, in the Privacy Policy and other legal documents.",API and Batch
,Company Information - L1,Company Type,company_type,"""Public"" for companies listed on the stock exchange, ""Non-profit"" for non-profits, ""Private"" for privately held companies",API and Batch
,Company Information - L1,Extracted Long Description,extracted_long_description,A longer description of the company the business activities of the company.,API and Batch
,Company Information - L1,Extracted Short Description,extracted_short_description,A short description of the business activities of the company,API and Batch
,Company Information - L1,Main City,main_city,The city in which the company's HQ is located,API and Batch
,Company Information - L1,Main Country,main_country,The country in which the company's HQ is located,API and Batch
,Company Information - L1,Main Country Code,main_country_code,2-letter ISO code of the country in which the company's HQ is located,API and Batch
,Company Information - L1,Main Latitude,main_latitude,The latitude coordinates associated with the company's HQ,API and Batch
,Company Information - L1,Main Longitude,main_longitude,The longitude coordinates associated with the company's HQ,API and Batch
,Company Information - L1,Main Postcode,main_postcode,The street in which the company's HQ is located,API and Batch
,Company Information - L1,Main Region,main_region,The region in which the company's HQ is located,API and Batch
,Company Information - L1,Main Street,main_street,The street in which the company's HQ is located,API and Batch
,Company Information - L1,Main Street Number,main_street_number,The city in which the company's HQ is located,API and Batch
,Company Information - L1,Main Business Category,main_business_category,Primary Industry of activity for the company,API and Batch
,Company Information - L1,Main Industry,main_industry,Primary Industry of activity for the company,API and Batch
,Company Information - L1,Main Sector,main_sector,The main sector of activity of the business based on Veridion's ML classification model,API and Batch
,Company Information - L1,Website Domain,website_domain,The domain name of the main company website,API and Batch
,Company Information - L1,Website Language Code,website_language_code,Main language identified on the company website,API and Batch
,Company Information - L1,Website TLD,website_tld,Top-level-domain of the company domain,API and Batch
,Company Information - L1,Website URL,website_url,URL of the main company website,API and Batch
,Company Information - L2,Number of Locations,number_of_locations,"Number of physical locations (holding an address) identified for the company. Includes offices, retail locations, manufacturing plants and other types of locations. 
  
  This number may or may not be the same as Number of Offices, depending on the company""",API and Batch
