,column_name,missing_count,missing_percentage
L0,created_at,0,0
L0,last_updated_at,0,0
L1,company_name,0,0
L1,main_country,0,0
L1,main_country_code,0,0
,input_company_name,0,0
,input_main_country,0,0
,input_main_country_code,0,0
,input_row_key,0,0
,locations,0,0
,num_locations,0,0
,veridion_id,0,0
L1,main_region,8,1.42
L1,main_city,20,3.55
,generated_business_tags,34,6.03
,generated_description,36,6.38
L1,main_postcode,46,8.16
L1,short_description,53,9.4
,input_main_region,62,10.99
L1,main_business_category,67,11.88
L1,main_industry,67,11.88
L1,main_sector,67,11.88
L1,company_type,70,12.41
,input_main_city,71,12.59
,isic_v4_codes,83,14.72
,isic_v4_labels,83,14.72
,nace_rev2_codes,83,14.72
,nace_rev2_labels,83,14.72
,naics_2022_primary_code,83,14.72
,naics_2022_primary_label,83,14.72
,sic_codes,83,14.72
,sic_labels,83,14.72
L1,main_street,93,16.49
L1,company_commercial_names,100,17.73
,input_main_postcode,102,18.09
,phone_numbers,106,18.79
,primary_phone,106,18.79
L1,website_domain,117,20.74
L1,website_tld,117,20.74
L1,website_url,117,20.74
L1,main_latitude,138,24.47
L1,main_longitude,138,24.47
L1,main_street_number,138,24.47
L1,website_language_code,159,28.19
,sics_codified_industry,186,32.98
,sics_codified_industry_code,186,32.98
,sics_codified_sector,186,32.98
,sics_codified_sector_code,186,32.98
,sics_codified_subsector,186,32.98
,sics_codified_subsector_code,186,32.98
,input_main_street,191,33.87
,technologies,192,34.04
L1,company_legal_names,201,35.64
,primary_email,201,35.64
,employee_count,216,38.3
,employee_count_type,216,38.3
,business_tags,226,40.07
,revenue,229,40.6
,revenue_type,229,40.6
,input_main_street_number,232,41.13
,linkedin_url,249,44.15
,year_founded,282,50
,facebook_url,300,53.19
,emails,329,58.33
,ibc_insurance_codes,362,64.18
,ibc_insurance_labels,362,64.18
,instagram_url,407,72.16
,twitter_url,410,72.7
,other_emails,446,79.08
,youtube_url,455,80.67
,naics_2022_secondary_codes,507,89.89
,naics_2022_secondary_labels,507,89.89
,ios_app_url,544,96.45
,android_app_url,546,96.81
,tiktok_url,564,100
